"id","skill_name","level","question_type","prompt","options","correct_answer","explanation"
"a0158f01-61d8-4d98-af33-755c20c43519","JavaScript","beginner","mcq","Which keyword declares a block-scoped variable that can be reassigned?","[""var"", ""let"", ""const"", ""static""]","let","let creates a block-scoped, reassignable binding, unlike const (not reassignable) or var (function-scoped)."
"3d1b1212-5ad1-415d-bc7c-96927d478b47","JavaScript","beginner","mcq","What does the '===' operator check that '==' does not?","[""Value only"", ""Type and value"", ""Reference only"", ""Nothing different""]","Type and value","The strict equality operator '===' compares both type and value without type coercion."
"3330f1d8-87dc-4cb0-aee8-24b0a245ea97","JavaScript","beginner","mcq","Which method adds an element to the end of an array?","[""push()"", ""pop()"", ""shift()"", ""unshift()""]","push()","push() appends one or more elements to the end of an array and returns the new length."
"cfad3212-32d1-4443-bfcb-df09fff41585","JavaScript","beginner","text","What is the difference between null and undefined in JavaScript?","","undefined means a variable has been declared but not assigned a value; null is an explicit assignment representing 'no value'.","undefined is the default state of uninitialized variables, while null is intentionally set by a developer."
"860c9dc8-88dd-46f3-9a8e-f260031a743b","JavaScript","beginner","mcq","What data type is returned by the 'typeof' operator when applied to an array?","[""'array'"", ""'object'"", ""'list'"", ""'undefined'""]","'object'","Arrays are a specialized object type in JavaScript, so typeof returns 'object'."
"bad4498f-d7c7-4759-9773-7b2e3f958ad3","JavaScript","beginner","code","What is logged?
let x = 5;
function show() {
  console.log(x);
  let x = 10;
}
show();","","ReferenceError due to temporal dead zone","The local 'let x' creates a temporal dead zone from the start of the function, so accessing x before its declaration throws a ReferenceError."
"209cb86a-22e8-4ebc-add3-8dd0c1d0ef7b","JavaScript","beginner","mcq","Which function converts a JSON string into a JavaScript object?","[""JSON.parse()"", ""JSON.stringify()"", ""Object.assign()"", ""JSON.toObject()""]","JSON.parse()","JSON.parse() deserializes a JSON string into a corresponding JavaScript value/object."
"47856e62-f1dc-48c8-ba46-9ad4331002b8","JavaScript","intermediate","code","What is logged?
for (var i = 0; i < 3; i++) {
  setTimeout(() => console.log(i), 0);
}","","3
3
3","var is function-scoped, so all callbacks share the same i, which is 3 after the loop finishes by the time the timeouts run."
"082ae5a6-9ad2-48a3-ae59-43c8783eb0b8","JavaScript","intermediate","mcq","What does Array.prototype.map() return?","[""The original array mutated"", ""A new array with transformed elements"", ""A single accumulated value"", ""undefined""]","A new array with transformed elements","map() creates a new array populated with the results of calling the provided function on every element."
"c9e88896-b84c-40f6-abcc-d427852fc531","JavaScript","intermediate","mcq","What is a closure in JavaScript?","[""A function bundled with references to its surrounding lexical scope"", ""A way to close a file handle"", ""A loop construct"", ""A type of array method""]","A function bundled with references to its surrounding lexical scope","Closures allow an inner function to access variables from its enclosing scope even after that scope has exited."
"9c2045b8-58d0-4698-a450-74bd00d6c87d","JavaScript","intermediate","code","What is the output?
console.log([1, 2, 3] + [4, 5]);","","'1,2,34,5'","The '+' operator coerces both arrays to strings ('1,2,3' and '4,5') and concatenates them."
"0e93f0f7-c280-4772-8f99-276bdf772a58","JavaScript","intermediate","text","Explain the difference between 'call', 'apply', and 'bind'.","","call and apply invoke a function immediately with a given 'this' (call takes args individually, apply takes an array); bind returns a new function with 'this' permanently set, without invoking it.","All three control the 'this' context, but bind is deferred execution while call/apply execute immediately."
"be8a6294-f87f-41ce-97c4-fb2f25719daa","JavaScript","intermediate","mcq","Which statement about Promises is true?","[""A Promise can be resolved multiple times"", ""A Promise is always resolved synchronously"", ""A Promise represents an eventual completion or failure of an async operation"", ""Promises cannot be chained""]","A Promise represents an eventual completion or failure of an async operation","A Promise is an object representing the eventual result of an asynchronous operation, settled exactly once."
"f86cb618-9d9d-453d-bca8-62d74eb29314","JavaScript","intermediate","code","Fix the bug so the function returns the doubled array instead of undefined:
function double(arr) {
  arr.map(function(x) {
    return x * 2;
  });
}","","Add 'return' before arr.map(...) so the function returns the mapped array.","map() returns a new array, but the outer function never returned it, so the result was discarded."
"1b1f3068-133c-422d-8771-d29b4628853f","JavaScript","advanced","text","What is the event loop and how do microtasks differ from macrotasks?","","The event loop processes the call stack and task queues; microtasks (Promises, queueMicrotask) run fully before the next macrotask (setTimeout, I/O) is processed.","After each macrotask, the JS engine drains the entire microtask queue before rendering or picking the next macrotask."
"6130126d-11af-4efe-8035-f90044246c1a","JavaScript","advanced","code","What is logged, and why?
console.log('start');
setTimeout(() => console.log('timeout'), 0);
Promise.resolve().then(() => console.log('promise'));
console.log('end');","","start, end, promise, timeout","Synchronous code runs first, then the microtask queue (Promise) drains before the macrotask queue (setTimeout)."
"f9c82380-6c94-4ebd-bf40-0fff3a7d8738","JavaScript","advanced","mcq","What is the primary difference between WeakMap and Map?","[""WeakMap keys must be objects and are weakly referenced, allowing garbage collection"", ""WeakMap is faster for all operations"", ""WeakMap allows iteration while Map does not"", ""WeakMap keys can be primitives""]","WeakMap keys must be objects and are weakly referenced, allowing garbage collection","WeakMap holds weak references to object keys so they can be garbage collected when no other references exist, and it is not iterable."
"2e7bdd55-1633-41d8-9688-cbc025e569a0","JavaScript","advanced","mcq","In terms of the prototype chain, what does Object.create(proto) do?","[""Creates a new object with proto as its prototype"", ""Clones proto deeply"", ""Freezes proto"", ""Adds proto as an own property""]","Creates a new object with proto as its prototype","Object.create(proto) creates a new object whose internal [[Prototype]] is set to the given proto object."
"7b2c058f-0d9e-482c-845a-978ed9147bff","JavaScript","advanced","code","Why does this throw, and how to fix it?
class Base {
  constructor() { this.greet(); }
}
class Child extends Base {
  greet() { console.log(this.name); }
  constructor(name) { super(); this.name = name; }
}
new Child('Amy');","","It logs undefined, not a throw: greet() runs during super() before this.name is set. Fix by setting fields before calling methods that depend on them, e.g. set defaults or reorder logic.","super() invokes the base constructor which calls the overridden greet() before Child's own constructor body assigns this.name."
"81eeacb6-c42b-4050-be65-3e82f0995417","JavaScript","advanced","text","Explain prototypal inheritance and how it differs from classical (class-based) inheritance.","","Objects inherit directly from other objects via a prototype chain rather than from classes; JS 'class' syntax is sugar over this prototype-based mechanism.","JavaScript objects delegate property lookups to their prototype object at runtime instead of copying behavior from a class blueprint."
"72672313-5812-4e7f-bd62-f64495406136","Python Programming","beginner","mcq","Which of these is a mutable data type in Python?","[""tuple"", ""str"", ""list"", ""int""]","list","Lists can be modified in place (append, remove, etc.), unlike tuples, strings, and ints which are immutable."
"11d0ca8a-b9a5-4598-9a0e-97df92484d0a","Python Programming","beginner","mcq","What does the 'len()' function return for a string?","[""The number of words"", ""The number of characters"", ""The memory size"", ""The ASCII sum""]","The number of characters","len() returns the count of characters (code points) contained in the string."
